User_ID,Age,Income,City_Tier,Device_Type,Traffic_Source,Pages_Viewed,Products_Viewed,Time_On_Site,Previous_Purchases,Discount_Seen,Browser_Version,Campaign_Code,Converted
126,41.0,71807.77828167843,2,Mobile,Organic,30,31,6.48,5,0,10,4567,1
127,32.0,76481.83707767376,2,Desktop,Email,14,10,8.66,3,0,17,7572,0
128,,81284.58131810956,2,Mobile,Organic,9,10,11.83,1,0,12,5619,0
129,26.0,52919.546173365015,3,Desktop,Organic,7,10,11.01,6,1,7,6386,1
130,61.0,64417.549940375044,1,Mobile,Organic,7,10,8.43,5,0,24,7936,0
131,39.0,127931.04380900806,3,Mobile,Social Media,2,5,10.57,4,0,9,5888,0
132,65.0,55065.48721309545,1,Mobile,Organic,6,9,27.48,3,0,20,2426,0
133,34.0,110641.1915081368,1,Tablet,Referral,11,7,18.57,6,1,21,3644,0
134,20.0,26860.522762114066,2,Mobile,Email,17,15,,0,0,3,9143,0
135,30.0,76043.30504983068,1,Mobile,Social Media,23,24,12.09,3,1,16,3227,1
136,35.0,,1,Mobile,Social Media,5,7,13.39,2,0,16,5825,0
137,51.0,77519.05910255836,1,Mobile,Paid Ads,9,9,17.86,1,0,18,6190,0
138,53.0,86836.74416153422,2,Tablet,Email,23,21,25.27,0,0,6,8238,1
139,53.0,84603.27481971764,2,Desktop,Social Media,9,7,18.07,1,1,19,2561,0
140,33.0,51534.297807069066,1,Mobile,Organic,9,10,10.65,1,0,10,2473,0
141,36.0,44430.86441808857,1,Mobile,Social Media,27,22,4.9,1,1,1,5714,1
142,45.0,84373.10315981848,2,Mobile,Paid Ads,25,28,9.34,3,0,19,6218,1
143,47.0,101314.50519878078,1,Desktop,Paid Ads,13,10,5.42,2,1,11,3537,0
144,,85984.88523998081,1,Desktop,Organic,4,1,,4,0,7,3930,0
145,27.0,105941.1406447393,2,Desktop,Social Media,1,1,,4,1,9,4305,1
146,55.0,53771.686854445965,2,Desktop,Organic,15,10,13.71,3,0,17,8046,0
147,42.0,47842.33898641418,1,Mobile,Organic,20,24,14.8,3,1,18,4220,0
148,64.0,60737.00347950066,3,Mobile,Paid Ads,17,21,12.61,2,0,20,9324,0
149,63.0,94981.51115167765,1,Mobile,Organic,7,3,16.71,1,1,11,6056,0
150,60.0,62246.37462522192,1,Mobile,Social Media,16,13,12.12,5,0,16,3166,1
151,,43511.20476607279,1,Mobile,Paid Ads,19,14,26.13,1,0,8,2629,1
152,47.0,90945.985835487,2,Mobile,Organic,19,19,5.04,1,1,3,2909,0
153,32.0,56237.073006746985,1,Desktop,Social Media,15,13,15.87,1,0,4,7091,0
154,,52792.3458661716,1,Tablet,Paid Ads,6,7,7.15,4,0,18,3215,0
155,23.0,38087.7386749383,2,Tablet,Organic,16,16,3.31,1,1,2,5827,0
156,63.0,,2,Desktop,Social Media,13,15,14.06,3,1,23,4139,1
157,30.0,73103.57616669137,3,Mobile,Organic,3,6,,4,1,21,4187,0
158,19.0,93915.86035067838,1,Mobile,Email,16,18,30.35,3,1,9,1074,1
159,19.0,61173.25095088039,2,Mobile,Social Media,30,27,11.17,3,0,5,8362,0
160,,75537.01352236739,1,Tablet,Social Media,17,17,12.34,0,0,16,9493,0
161,65.0,100015.57523615636,2,Mobile,Paid Ads,6,9,9.66,5,1,13,2815,1
162,31.0,47371.65651029948,2,Mobile,Organic,26,28,5.69,1,0,6,3893,0
163,,117534.7329622452,1,Mobile,Email,19,17,,0,0,10,8751,0
164,,75250.87508803641,3,Mobile,Organic,5,5,5.88,4,0,1,6289,0
165,20.0,66536.40093621255,1,Tablet,Social Media,17,14,11.51,5,1,6,8162,1
166,41.0,84226.60449685341,2,Mobile,Organic,26,27,,3,1,1,7022,0
167,22.0,77549.5373835325,2,Desktop,Social Media,12,12,15.97,3,1,5,3657,0
168,22.0,62912.77809396255,3,Mobile,Organic,1,1,10.59,4,0,15,5554,0
169,35.0,74729.89564004492,2,Desktop,Organic,24,24,11.58,3,0,23,8721,1
170,18.0,90142.77792920324,2,Mobile,Organic,3,9,11.76,2,1,16,9953,0
171,58.0,112493.57058682667,2,Desktop,Organic,22,19,6.32,2,0,1,1398,0
172,47.0,100549.6988802065,1,Tablet,Email,23,23,,3,1,20,8244,0
173,62.0,104884.57328358825,2,Desktop,Paid Ads,28,28,,3,1,24,4751,0
174,41.0,91362.55511330508,1,Tablet,Referral,26,26,,2,0,1,3986,1
175,44.0,73811.83953944805,2,Tablet,Paid Ads,30,27,19.84,2,1,4,3311,0
176,46.0,46964.19293335299,1,Mobile,Organic,17,18,4.15,5,1,21,3541,0
177,40.0,66003.73542715596,3,Mobile,Social Media,12,12,4.14,4,1,18,5224,1
178,45.0,55435.82575408823,1,Mobile,Referral,2,3,5.55,3,1,7,4177,1
179,45.0,88866.99937288379,1,Mobile,Email,19,20,10.87,0,0,23,1304,0
180,60.0,,3,Mobile,Social Media,16,14,13.54,3,1,5,9635,0
181,32.0,,1,Mobile,Paid Ads,7,1,5.16,5,0,23,5552,0
182,62.0,,2,Desktop,Paid Ads,3,5,7.63,5,0,12,7628,1
183,26.0,80385.58661688188,3,Tablet,Organic,22,16,14.96,3,1,20,8658,1
184,27.0,80628.62866862801,2,Mobile,Email,28,34,,3,1,9,6841,0
185,30.0,80188.60415414741,2,Mobile,Email,13,10,4.83,1,0,11,7158,0
186,63.0,37643.6254377282,1,Desktop,Referral,25,26,,4,0,8,5079,1
187,29.0,105073.89231774976,1,Tablet,Organic,11,8,11.66,4,0,8,4408,0
188,55.0,,1,Desktop,Referral,24,25,8.6,4,1,4,6749,1
189,45.0,102338.3371360224,3,Desktop,Email,16,13,11.62,6,0,23,9727,0
190,48.0,77603.61120813216,3,Mobile,Paid Ads,14,13,1.88,0,1,15,2226,0
191,,62641.83350237136,2,Mobile,Organic,4,2,7.72,6,0,12,6558,0
192,,93045.73268315013,1,Mobile,Social Media,14,8,15.63,0,1,13,5246,0
193,21.0,56512.02893451141,3,Mobile,Social Media,9,12,27.46,5,0,16,5030,0
194,44.0,44847.54596494717,1,Desktop,Organic,27,28,4.08,0,0,23,3640,0
195,55.0,24526.675241250843,2,Desktop,Referral,10,6,6.85,4,1,14,6933,1
196,,50040.788839199944,1,Mobile,Paid Ads,10,13,5.69,5,1,15,1685,0
197,65.0,66088.87126937883,1,Desktop,Referral,25,24,,4,1,18,7336,1
198,29.0,33218.76515239334,2,Mobile,Paid Ads,27,23,20.83,1,0,3,8880,0
199,54.0,28184.82954517528,3,Mobile,Organic,21,27,8.58,4,1,19,8097,1
200,46.0,55510.80675993146,2,Mobile,Social Media,6,1,29.08,4,1,12,1788,0
201,53.0,95291.0394869537,2,Mobile,Paid Ads,22,22,24.15,3,1,2,1645,0
202,57.0,62530.495294198816,1,Mobile,Organic,18,15,20.55,2,0,2,2950,1
203,40.0,76838.10972979816,2,Desktop,Organic,12,10,,1,0,20,2118,0
204,24.0,43276.821186366025,1,Mobile,Organic,16,12,18.43,5,0,4,6895,0
205,55.0,73671.28519739425,2,Mobile,Organic,27,28,,2,0,17,4448,0
206,,83463.7340597671,1,Desktop,Organic,28,28,33.22,4,1,8,8627,1
207,24.0,37568.22733176647,2,Mobile,Referral,20,20,9.01,4,0,22,7346,1
208,37.0,57451.631308833305,2,Desktop,Organic,19,14,16.2,8,0,1,1296,0
209,24.0,60821.36097581906,3,Mobile,Social Media,29,29,2.57,2,0,18,4804,1
210,54.0,79212.68212978033,2,Mobile,Referral,29,32,8.33,5,0,12,6659,0
211,34.0,54950.87200308343,2,Desktop,Social Media,6,6,8.44,3,0,4,5371,0
212,21.0,27572.35194302803,2,Mobile,Social Media,9,8,15.06,3,0,5,1256,1
213,31.0,56368.9601521324,2,Desktop,Email,26,29,12.99,1,0,3,4870,0
214,47.0,105554.81717051464,2,Mobile,Referral,13,11,26.65,2,1,22,1913,1
215,46.0,102897.94303815751,2,Mobile,Social Media,10,10,9.65,8,1,23,6442,1
216,59.0,55933.75914925607,2,Tablet,Referral,9,9,,3,0,23,7709,0
217,35.0,48943.61821857125,2,Mobile,Paid Ads,30,32,8.41,2,1,19,1890,0
218,48.0,45636.2291286474,3,Mobile,Paid Ads,4,4,20.82,1,1,11,3643,0
219,63.0,59922.74702233392,1,Mobile,Organic,23,18,16.09,2,0,13,8582,0
220,33.0,74331.42086083654,3,Mobile,Social Media,6,6,17.51,1,0,14,9712,0
221,19.0,89425.13480839932,2,Mobile,Social Media,7,6,28.3,3,0,7,7879,1
222,49.0,112115.45833414627,2,Mobile,Organic,22,24,4.1,4,0,18,9799,1
223,46.0,65216.78792426348,2,Desktop,Paid Ads,8,4,17.09,3,1,3,1740,1
224,,113823.27050324771,2,Tablet,Organic,21,18,8.83,4,1,8,8696,0
225,45.0,96927.76776558343,1,Desktop,Organic,23,26,13.29,2,1,4,2938,0
226,,63764.414843312974,2,Tablet,Referral,29,27,,3,0,23,4131,1
227,57.0,34982.055700673984,1,Mobile,Referral,25,31,14.1,2,0,14,3866,1
228,24.0,68084.18156279933,3,Mobile,Social Media,26,30,13.32,4,0,16,3671,0
229,40.0,109674.40677671999,2,Mobile,Email,27,27,16.03,2,1,3,2110,0
230,31.0,66142.53324778465,2,Tablet,Email,14,14,,5,1,3,5921,0
231,34.0,114155.40042995928,2,Mobile,Social Media,5,1,5.76,3,0,22,4803,0
232,19.0,43365.61048959161,2,Mobile,Organic,28,23,4.44,4,0,17,6868,0
233,38.0,116216.98294850774,3,Mobile,Organic,26,28,236.54,3,1,21,6334,1
234,22.0,58565.572552844606,1,Mobile,Referral,25,27,11.05,1,0,7,2229,1
235,62.0,47684.75233955246,2,Tablet,Social Media,28,27,,6,0,20,7312,0
236,44.0,57837.79102544747,1,Mobile,Organic,16,16,12.39,3,0,9,1712,0
237,38.0,55761.01999844095,3,Mobile,Organic,27,30,29.3,2,1,20,9093,1
238,29.0,31435.62048955621,1,Mobile,Paid Ads,26,24,6.04,1,0,7,8247,0
239,63.0,48405.47534247869,1,Mobile,Paid Ads,17,18,,5,0,17,6110,0
240,42.0,12397.90899518031,2,Mobile,Paid Ads,16,18,9.96,6,1,9,2340,0
241,65.0,100953.92260130105,3,Mobile,Organic,26,25,,5,0,8,9373,0
242,,85590.84948214918,1,Mobile,Social Media,1,1,10.62,5,0,12,1359,0
243,65.0,56208.24633373307,3,Mobile,Organic,21,16,18.71,6,0,18,7996,0
244,60.0,51155.43585514983,2,Mobile,Social Media,5,6,12.19,2,1,6,5696,1
245,53.0,105177.22114970404,2,Tablet,Paid Ads,13,11,15.1,2,1,21,4823,0
246,35.0,44780.63939312785,2,Mobile,Referral,23,25,,1,1,8,2074,0
247,55.0,93484.15323594361,2,Desktop,Paid Ads,3,1,6.43,2,1,12,7212,0
248,33.0,103575.70460706696,3,Tablet,Paid Ads,8,10,8.13,7,0,5,4591,0
249,59.0,,2,Desktop,Email,24,17,14.35,1,0,19,2587,0
250,33.0,70895.10458875309,3,Tablet,Social Media,3,4,30.81,3,1,6,6472,0
251,21.0,87611.86990700712,2,Mobile,Paid Ads,18,19,,0,1,17,1752,0
252,23.0,67292.79568756935,1,Mobile,Organic,11,11,18.65,4,0,4,3865,0
253,,98462.83991686035,1,Tablet,Social Media,5,7,10.56,4,0,22,6942,0
254,49.0,54469.76122796329,2,Mobile,Organic,23,29,4.78,3,1,8,5825,0
255,31.0,117355.56561255641,2,Desktop,Organic,1,3,17.15,2,1,18,8724,0
256,57.0,91133.5152643297,2,Desktop,Paid Ads,13,9,10.67,4,1,16,7959,1
257,30.0,67235.35964546095,2,Mobile,Organic,2,1,28.04,1,0,11,1135,0
258,40.0,100241.79790679345,2,Desktop,Referral,20,24,,2,1,8,1552,1
259,34.0,97419.9641209485,2,Mobile,Paid Ads,14,14,,4,0,4,7048,1
260,44.0,62904.22688921983,2,Mobile,Referral,7,9,13.53,3,0,19,7556,0
261,27.0,43684.078402844054,2,Mobile,Paid Ads,30,28,,4,1,1,9424,0
262,,39259.42893931115,2,Mobile,Paid Ads,16,16,21.63,3,1,18,7248,0
263,62.0,53499.3801091762,1,Mobile,Referral,13,11,16.3,1,1,19,3336,0
264,51.0,64887.033631456776,3,Desktop,Email,23,23,9.77,5,0,10,9167,1
265,,67004.87637243021,2,Mobile,Organic,4,3,15.76,3,1,12,3499,0
266,53.0,128793.02894666212,1,Desktop,Organic,5,1,7.96,2,1,7,7106,0
267,,70762.79661408969,2,Mobile,Social Media,16,18,10.61,3,0,18,2624,0
268,60.0,74656.3277624687,1,Mobile,Organic,21,20,2.77,1,1,10,7531,1
269,21.0,56893.86245656771,1,Mobile,Organic,30,31,9.34,1,1,23,8513,1
270,28.0,107164.0223749353,3,Desktop,Paid Ads,19,17,16.09,0,0,2,9349,1
271,39.0,36339.90335173175,1,Desktop,Referral,26,20,7.35,4,1,2,9741,0
272,49.0,77798.00963533958,2,Mobile,Email,8,13,8.46,4,1,21,4647,0
273,51.0,69413.9626946354,1,Tablet,Paid Ads,2,4,15.22,7,1,15,5507,0
274,52.0,68716.63339176746,1,Tablet,Social Media,1,1,18.17,3,0,17,3117,0
275,63.0,72678.04016584047,2,Mobile,Organic,1,1,15.56,3,0,7,4114,0
276,58.0,,2,Desktop,Email,8,3,,2,1,22,2879,0
277,61.0,,3,Mobile,Organic,8,12,6.9,5,1,17,7935,0
278,34.0,97469.1208495156,3,Mobile,Social Media,9,15,,7,1,8,2620,1
279,51.0,105454.72105447948,3,Desktop,Paid Ads,10,13,6.05,2,0,16,6795,0
280,51.0,88257.23697197862,1,Desktop,Organic,21,20,8.2,4,0,21,7507,0
281,47.0,102973.03672032704,3,Mobile,Organic,28,32,12.51,5,1,1,2295,0
282,47.0,76035.53593557439,2,Desktop,Organic,5,8,8.03,4,1,4,3385,1
283,,15474.089011802396,2,Mobile,Referral,25,24,,3,0,10,6103,1
284,37.0,46420.09182845978,3,Mobile,Social Media,12,15,,2,0,1,4924,0
285,24.0,83828.54580402291,2,Mobile,Organic,1,1,5.49,5,1,16,4566,1
286,22.0,13544.370096931925,2,Mobile,Paid Ads,1,1,12.83,2,1,18,2911,0
287,18.0,75093.2818517822,1,Mobile,Social Media,10,7,,1,1,19,5729,0
288,34.0,79974.8975872209,2,Mobile,Paid Ads,2,5,7.67,1,1,3,1339,0
289,,79038.756609351,2,Desktop,Paid Ads,23,23,8.16,5,0,10,5579,0
290,64.0,45011.91812050046,1,Tablet,Paid Ads,3,6,11.27,3,0,11,5281,0
291,,62764.68430553999,1,Mobile,Email,28,26,6.32,3,1,9,7527,0
292,28.0,63235.49653752913,1,Mobile,Email,29,28,14.15,2,0,24,1321,0
293,20.0,77405.08154238277,2,Desktop,Paid Ads,25,24,6.55,4,1,10,3940,0
294,23.0,64980.25650120072,1,Mobile,Organic,5,1,7.76,2,0,17,5877,1
295,49.0,28402.09319396937,2,Tablet,Referral,16,14,11.7,2,1,24,4623,1
296,35.0,130191.47785072209,3,Mobile,Paid Ads,28,31,18.68,2,1,10,9074,1
297,47.0,79626.50818516998,1,Desktop,Organic,18,17,11.62,4,0,17,7844,0
298,22.0,65810.08486515931,3,Mobile,Referral,1,1,7.1,2,0,18,9680,0
299,54.0,,3,Mobile,Paid Ads,22,22,10.53,2,0,17,8379,1
300,30.0,90308.87483824306,3,Mobile,Referral,15,12,6.49,4,0,24,7550,1
301,20.0,76779.09217064778,1,Mobile,Referral,23,25,3.42,2,0,19,5560,0
302,61.0,82247.68110382193,1,Mobile,Paid Ads,5,6,13.13,3,1,7,7913,0
303,35.0,34417.07612920505,1,Mobile,Email,28,32,7.07,2,1,16,3698,0
304,33.0,20064.020109552155,2,Desktop,Organic,23,22,4.75,4,1,10,8058,0
305,20.0,104608.31493992783,2,Tablet,Paid Ads,2,1,10.91,3,1,9,7672,0
306,46.0,,1,Desktop,Organic,18,14,15.7,1,1,19,4286,0
307,,78534.94137434236,2,Desktop,Referral,16,16,16.01,3,1,6,8320,1
308,29.0,100459.66342886987,2,Mobile,Paid Ads,2,4,,4,1,22,8502,0
309,50.0,61879.48911632476,2,Mobile,Social Media,19,18,17.08,2,0,13,8982,0
310,50.0,83991.86578304875,2,Tablet,Paid Ads,2,4,21.17,3,0,13,7804,0
311,25.0,26760.03590667359,1,Tablet,Social Media,24,23,,1,0,4,3887,0
312,24.0,69148.19740791182,2,Desktop,Paid Ads,15,20,,2,1,15,5802,0
313,29.0,69502.56985471061,1,Mobile,Referral,18,15,,3,0,10,7663,0
314,55.0,96051.35755924023,2,Mobile,Paid Ads,23,17,,2,1,15,9330,0
315,30.0,60270.12586187158,2,Mobile,Paid Ads,8,8,12.01,2,0,19,4854,0
316,,,2,Mobile,Paid Ads,16,17,7.22,5,0,15,2552,0
317,24.0,12000.0,2,Desktop,Organic,24,21,,7,1,17,6968,0
